Lower lip pit	HP:0000196
Labial telangiectasia	HP:0000214
Lip telangiectasia	HP:0000214
Telangiectasia of the lips	HP:0000214
Lip telangiectases	HP:0000214
Angioectasias of the lip	HP:0000214
Labial angioectasias	HP:0000214
Spider veins of the lip	HP:0000214
Gingival hyperkeratosis	HP:0000222
Hyperkeratosis, gingival	HP:0000222
Lingual angioectasias	HP:0000227
Spider veins of the tongue	HP:0000227
Lingual telangiectasia	HP:0000227
Tongue telangiectasia	HP:0000227
Angioectasias of the tongue	HP:0000227
Spider veins of the mouth	HP:0000228
Angioectasias of the mouth	HP:0000228
Spider veins of the oral cavity	HP:0000228
Oral cavity teleangiectasia	HP:0000228
Angioectasias of the oral cavity	HP:0000228
Oral cavity telangiectasia	HP:0000228
Low frontal hairline	HP:0000294
Low-set frontal hairline	HP:0000294
Low anterior hairline	HP:0000294
Hairline peak	HP:0000349
Hairline point	HP:0000349
V-shaped frontal hairline	HP:0000349
Widow's peak	HP:0000349
Preauricular fibroepithelial polyp	HP:0000384
Preauricular tag	HP:0000384
Preauricular tags	HP:0000384
Skin tag in front of the ear	HP:0000384
Preauricular skin tags	HP:0000384
Preauricular skin tag	HP:0000384
Periauricular skin tag	HP:0000384
Skin tag on the posterior cheek	HP:0000384
Preauricular acrochordon	HP:0000384
Ear tag	HP:0000384
Telangiectasia of nasal mucous membrane	HP:0000434
Spider veins of nasal mucous membrane	HP:0000434
Nasal mucous membrane telangiectasia	HP:0000434
Spider veins of mucous membrane of nose	HP:0000434
Spider veins of mucosa of nose	HP:0000434
Telangiectasia of mucosa of nose	HP:0000434
Telangiectasia of mucous membrane of nose	HP:0000434
Angioectasia of mucosa of nose	HP:0000434
Nasal mucosa telangiectasia	HP:0000434
Angioectasia of nasal mucous membrane	HP:0000434
Angioectasia of mucous membrane of nose	HP:0000434
Abnormal eyelash morphology	HP:0000499
Abnormality of the eyelashes	HP:0000499
Abnormal eyelashes	HP:0000499
Eyelash abnormality	HP:0000499
Conjunctival telangiectases	HP:0000524
Conjunctival telangiectasia	HP:0000524
Telangiectasia, conjunctival	HP:0000524
Small dilated blood vessels near membrane covering front of eye and eyelids	HP:0000524
Long eyelashes	HP:0000527
Increased length of eyelashes	HP:0000527
Ciliary trichomegaly	HP:0000527
Eyelash trichomegaly	HP:0000527
Unusually long eyelashes	HP:0000527
Abnormal eyebrow morphology	HP:0000534
Abnormality of the eyebrow	HP:0000534
Thin, sparse eyebrows	HP:0000535
Sparse and thin eyebrow	HP:0000535
Agenesis of eyelashes	HP:0000561
Failure of development of eyelashes	HP:0000561
Aplasia of eyelashes	HP:0000561
Atrichia of eyelashes	HP:0000561
Absent eyelashes	HP:0000561
Dense eyebrow	HP:0000574
Prominent eyebrows	HP:0000574
Bushy eyebrows	HP:0000574
Hypertrichosis of the eyebrow	HP:0000574
Hypertrichosis of the eyebrows	HP:0000574
Thick eyebrow	HP:0000574
Heavy eyebrows	HP:0000574
Thick eyebrows	HP:0000574
Abnormality of hairline at front of head	HP:0000599
Abnormality of the frontal hairline	HP:0000599
Periorbital wrinkling	HP:0000607
Periorbital rhytids	HP:0000607
Periorbital wrinkles	HP:0000607
Wrinkles around the eyes	HP:0000607
Excess periorbital skin wrinkling	HP:0000607
Hypotrichosis of eyelashes	HP:0000653
Thin eyelashes	HP:0000653
Scanty eyelashes	HP:0000653
Scant eyelashes	HP:0000653
Sparse eyelashes	HP:0000653
Partial absence of eyelashes	HP:0000653
Monobrow	HP:0000664
Synophris	HP:0000664
Unibrow	HP:0000664
Synophrys	HP:0000664
Skin abnormality	HP:0000951
dermopathy	HP:0000951
Abnormality of the skin	HP:0000951
dermatopathy	HP:0000951
Jaundice	HP:0000952
Yellowing of the skin	HP:0000952
Icterus	HP:0000952
Yellow skin	HP:0000952
Melanoderma	HP:0000953
Patchy darkened skin	HP:0000953
Skin hyperpigmentation	HP:0000953
Cutaneous hyperpigmentation	HP:0000953
Hyperpigmentation of the skin	HP:0000953
Melanodermia	HP:0000953
Hyperpigmented lesion	HP:0000953
Increased skin pigmentation	HP:0000953
Single transverse palmar creases	HP:0000954
Simian creases	HP:0000954
Simian line	HP:0000954
Single transverse palmar crease	HP:0000954
Simian crease	HP:0000954
Single palmar creases	HP:0000954
Transverse palmar crease	HP:0000954
Single flexion crease	HP:0000954
Single palmar crease	HP:0000954
Acanthosis nigricans	HP:0000956
Darkened and thickened skin	HP:0000956
Keratosis nigricans	HP:0000956
Flat light-brown mark on skin	HP:0000957
Cafe-au-lait macule	HP:0000957
Cafe-au-lait spots	HP:0000957
Cafe-au-lait spot	HP:0000957
Cafe au lait spots	HP:0000957
Birthmark	HP:0000957
Cafe-au-lait macules	HP:0000957
Xerosis	HP:0000958
Dry skin	HP:0000958
Pilonidal dimple	HP:0000960
Sacral dimple	HP:0000960
Spinal dimple	HP:0000960
Blue discoloration of the skin	HP:0000961
Cyanosis	HP:0000961
Hyperkeratosis	HP:0000962
Thin skin	HP:0000963
Eczema	HP:0000964
Livedo reticularis	HP:0000965
Cutis marmorata	HP:0000965
Decreased ability to sweat	HP:0000966
Oligohidrosis	HP:0000966
Hypohidrosis	HP:0000966
Decreased sweating	HP:0000966
Inadequate sweating	HP:0000966
Sweating, decreased	HP:0000966
Petechiae	HP:0000967
Ectodermal dysplasia	HP:0000968
Sudomotor dysfunction	HP:0000970
Sweating dysfunction	HP:0000970
Lack of sweating	HP:0000970
Anhidrosis	HP:0000970
Sweat gland disease	HP:0000971
Abnormalities of sweating	HP:0000971
Abnormality of the sweat gland	HP:0000971
Abnormal sweat gland morphology	HP:0000971
Palmoplantar hyperkeratosis	HP:0000972
Hyperkeratosis of palms and soles	HP:0000972
Palmoplantar keratosis	HP:0000972
Thick palms and soles	HP:0000972
Palmoplantar keratoses	HP:0000972
Thickened palms and soles	HP:0000972
Thickening of the outer layer of the skin of the palms and soles	HP:0000972
Hyperkeratosis of the palms and soles	HP:0000972
Skin laxity	HP:0000973
Dermatomegaly	HP:0000973
Cutis laxa	HP:0000973
Hanging skin	HP:0000973
Hypoelastic skin	HP:0000973
Inelastic skin	HP:0000973
Lax skin	HP:0000973
Generalized elastolysis	HP:0000973
Cutaneous laxity	HP:0000973
Dermatochalasia	HP:0000973
Loose and inelastic skin	HP:0000973
Elastolysis	HP:0000973
Chalazoderma	HP:0000973
Loose skin	HP:0000973
Stretchable skin	HP:0000974
Skin hyperelasticity	HP:0000974
Hyperelastic skin	HP:0000974
Hyperextensible skin	HP:0000974
Skin hyperextensibility	HP:0000974
Sweating, increased	HP:0000975
Hyperhidrosis	HP:0000975
Increased sweating	HP:0000975
Diaphoresis	HP:0000975
Excessive sweating	HP:0000975
Sweating profusely	HP:0000975
Sweating	HP:0000975
Profuse sweating	HP:0000975
Eczematoid dermatitis	HP:0000976
Velvety skin	HP:0000977
Velvety skin texture	HP:0000977
Soft skin	HP:0000977
Bruise easily	HP:0000978
Bruisability	HP:0000978
Bruising susceptibility	HP:0000978
Easy bruising	HP:0000978
Easy bruisability	HP:0000978
Blood spots	HP:0000979
Purpura	HP:0000979
Red or purple spots on the skin	HP:0000979
Paleness	HP:0000980
Skin paleness	HP:0000980
Pallor	HP:0000980
Thickening of palms and soles	HP:0000982
Palmar and plantar keratoderma	HP:0000982
Palmoplantar keratoderma	HP:0000982
Atypical scarring	HP:0000987
Atypical scarring of skin	HP:0000987
Rash	HP:0000988
Exanthem	HP:0000988
