Abnormality of body height	HP:0000002
Multicystic kidney dysplasia	HP:0000003
Multicystic kidneys	HP:0000003
Multicystic renal dysplasia	HP:0000003
Multicystic dysplastic kidney	HP:0000003
Abnormality of female internal genitalia	HP:0000008
Poor bladder function	HP:0000009
Functional abnormality of the bladder	HP:0000009
Frequent urinary tract infections	HP:0000010
Urinary tract infections, recurrent	HP:0000010
Urinary infection	HP:0000010
Urinary tract infections	HP:0000010
Recurrent urinary tract infections	HP:0000010
Recurrent UTIs	HP:0000010
Urinary tract infection	HP:0000010
Neurogenic bladder	HP:0000011
Lack of bladder control due to nervous system injury	HP:0000011
Overactive bladder syndrome	HP:0000012
Overactive bladder	HP:0000012
Urgency frequency syndrome	HP:0000012
Urinary urgency	HP:0000012
Hypoplasia of the uterus	HP:0000013
Rudimentary uterus	HP:0000013
Small uterus	HP:0000013
Underdeveloped uterus	HP:0000013
Hypoplastic uterus	HP:0000013
Abnormality of the bladder	HP:0000014
Bladder diverticula	HP:0000015
Bladder diverticulum	HP:0000015
Increased post-void residual urine volume	HP:0000016
Urinary retention	HP:0000016
Nocturia	HP:0000017
Nycturia	HP:0000017
Urinary hesitancy	HP:0000019
Difficulty with flow	HP:0000019
Bladder incontinence	HP:0000020
Urinary incontinence	HP:0000020
Loss of bladder control	HP:0000020
Megacystis	HP:0000021
Abnormality of male internal genitalia	HP:0000022
Inguinal hernia	HP:0000023
Inflammation of the prostate	HP:0000024
Prostatitis	HP:0000024
Functional abnormality of male internal genitalia	HP:0000025
Male hypogonadism	HP:0000026
Decreased function of male gonad	HP:0000026
Absent sperm in semen	HP:0000027
Azoospermia	HP:0000027
Cryptorchidism	HP:0000028
Undescended testis	HP:0000028
Cryptorchism	HP:0000028
Undescended testes	HP:0000028
Testicular degeneration	HP:0000029
Testicular atrophy	HP:0000029
Testicular gonadoblastoma	HP:0000030
Gonadoblastoma, male	HP:0000030
Epididymitis	HP:0000031
Abnormality of male external genitalia	HP:0000032
Ambiguous genitalia, male	HP:0000033
Ambiguous genitalia in males	HP:0000033
Testicular hydrocele	HP:0000034
Hydrocele testis	HP:0000034
Hydrocele	HP:0000034
Abnormality of the testis	HP:0000035
Anomaly of the testes	HP:0000035
Abnormal testis morphology	HP:0000035
Abnormality of the penis	HP:0000036
Male pseudohermaphroditism	HP:0000037
Epispadias	HP:0000039
Long penis	HP:0000040
Enlarged penis	HP:0000040
Chordee	HP:0000041
Absent external genitalia	HP:0000042
Isolated hypogonadotropic hypogonadism	HP:0000044
Low gonadotropins (secondary hypogonadism)	HP:0000044
Hypogonadism, hypogonadotropic	HP:0000044
Hypogonadotrophic hypogonadism	HP:0000044
Abnormality of the scrotum	HP:0000045
Hypoplastic scrotum	HP:0000046
Scrotal hypoplasia	HP:0000046
Smaller than typical growth of scrotum	HP:0000046
Hypospadias	HP:0000047
Hypospadia	HP:0000047
Cleft of scrotum	HP:0000048
Bifid scrotum	HP:0000048
Scrotal cleft	HP:0000048
Overriding scrotum	HP:0000049
Scrotum surrounds penis	HP:0000049
Shawl scrotum	HP:0000049
Hypoplastic male external genitalia	HP:0000050
Small male external genitalia	HP:0000050
Hypoplastic male genitalia	HP:0000050
Underdeveloped male genitalia	HP:0000050
Perineal hypospadias	HP:0000051
Urethral atresia, male	HP:0000052
Large testicles	HP:0000053
Large testis	HP:0000053
Macroorchidism	HP:0000053
Short penis	HP:0000054
Small penis	HP:0000054
Micropenis	HP:0000054
Abnormal female external genitalia	HP:0000055
Abnormality of female external genitalia	HP:0000055
