Inguinal hernia	HP:0000023
Sagging uterus	HP:0000139
Uterine prolapse	HP:0000139
Increased volume of facial adipose tissue	HP:0000287
Facial fat hypertrophy	HP:0000287
Facial fat hyperplasia	HP:0000287
Increased facial adipose tissue	HP:0000287
Hyperplasia of facial adipose tissue	HP:0000287
Increased amount of facial fat	HP:0000287
Hypertrophy of facial adipose tissue	HP:0000287
Increased amount of facial adipose tissue	HP:0000287
Abnormality of facial fat	HP:0000291
Malformation of facial adipose tissue	HP:0000291
Deformity of facial adipose tissue	HP:0000291
Abnormality of facial adipose tissue	HP:0000291
Decreased amount of facial fat	HP:0000292
Decreased amount of facial adipose tissue	HP:0000292
Loss of facial adipose tissue	HP:0000292
Decreased volume of facial adipose tissue	HP:0000292
Loss of facial subcutaneous adipose tissue	HP:0000292
Loss of subcutaneous adipose tissue from face	HP:0000292
Loss of facial fat	HP:0000292
Increased fat around the neck	HP:0000468
Increased adipose tissue around the neck	HP:0000468
Corneal scarring	HP:0000559
Enamel abnormalities	HP:0000682
Abnormality of dental enamel	HP:0000682
Enamel abnormality	HP:0000682
Abnormal tooth enamel	HP:0000682
Malformation of dental enamel	HP:0000682
Defective tooth enamel	HP:0000682
Malformation of tooth enamel	HP:0000682
Dystrophic tooth enamel	HP:0000682
Grayish enamel	HP:0000683
Gray colored tooth enamel	HP:0000683
Gray tooth shade	HP:0000683
Greyish enamel	HP:0000683
Teeth with thin dentin and large pulp chambers	HP:0000694
Teeth with dentinal dysplasia	HP:0000694
Shell teeth	HP:0000694
Teeth with type iii dentinogenesis imperfecta	HP:0000694
Dentinogenesis imperfecta	HP:0000703
Amelogenesis imperfecta	HP:0000705
Diaphragmatic hernia	HP:0000776
Congenital diaphragmatic hernia	HP:0000776
Chondrocalcinosis	HP:0000934
Calcium deposits in joints	HP:0000934
Atypical scarring	HP:0000987
Atypical scarring of skin	HP:0000987
Abnormality of subcutaneous fat tissue	HP:0001001
Abnormality of fatty tissue below the skin	HP:0001001
Lipomas	HP:0001012
Lipomatosis	HP:0001012
Multiple lipomas	HP:0001012
Multiple fatty lumps	HP:0001012
Subcutaneous lipoma	HP:0001031
Cigarette-paper scars	HP:0001073
Cigarette paper scarring	HP:0001073
'cigarette paper scarring'	HP:0001073
Thin, atrophic scars	HP:0001075
Sunken or indented skin due to damage	HP:0001075
Atrophic scars	HP:0001075
Camptodactyly of 2nd-5th fingers	HP:0001215
Interphalangeal joint flexion contractures	HP:0001220
Interphalangeal joint contracture of finger	HP:0001220
Wrist flexion deformity	HP:0001239
Wrist contracture	HP:0001239
Wrist flexion contracture	HP:0001239
Flexion contracture	HP:0001371
Flexion contractures	HP:0001371
Contractures	HP:0001371
Flexion contractures of joints	HP:0001371
Joint contractures	HP:0001371
Flexed joint that cannot be straightened	HP:0001371
Joint contracture	HP:0001371
Contracture	HP:0001371
Umbilical hernia	HP:0001537
Umbilical hernias	HP:0001537
Omphalocele	HP:0001539
Omphalocoele	HP:0001539
Achilles tendon contractures	HP:0001771
Tight achilles tendon	HP:0001771
Achilles tendon contracture	HP:0001771
Contractures of the Achilles tendon	HP:0001771
Shortening of the achilles tendon	HP:0001771
Camptodactyly of feet	HP:0001836
Camptodactyly of toe	HP:0001836
Hiatus hernia	HP:0002036
Stomach hernia	HP:0002036
Hiatal hernia	HP:0002036
congenital contractures	HP:0002803
Congenital joint contractures	HP:0002803
Congenital contracture	HP:0002803
Arthrogryposis	HP:0002804
Arthrogryposis, congenital	HP:0002804
Arthrogryposis multiplex	HP:0002804
Arthrogryposis multiplex congenita	HP:0002804
Multiple congenital contractures	HP:0002804
Multiple joint contractures	HP:0002828
Ventral hernia	HP:0002933
Fixed flexion at the elbow joint	HP:0002987
Contractures of the elbows	HP:0002987
Contractures of elbows	HP:0002987
Elbow contracture	HP:0002987
Elbow contractures	HP:0002987
Contracture of elbow joint	HP:0002987
Elbow flexion contracture	HP:0002987
Elbow flexion contractures	HP:0002987
Elbow flexion deformity	HP:0002987
Shoulder flexion contracture	HP:0003044
Hamstring contractures	HP:0003089
Limb joint contracture	HP:0003121
Limb contractures	HP:0003121
Flexion contractures of hips	HP:0003273
Hip contractures	HP:0003273
Hip flexion contractures	HP:0003273
Flexion contracture of hips	HP:0003273
Hip contracture	HP:0003273
Abnormality of connective tissue	HP:0003549
Loss of fat tissue below the skin in limbs	HP:0003635
Loss of subcutaneous adipose tissue in limbs	HP:0003635
Loss of subcutaneous adipose tissue from extremities	HP:0003635
Minimal subcutaneous fat	HP:0003717
Minimal fat below the skin	HP:0003717
Reduced subcutaneous adipose tissue	HP:0003758
Reduced subcutaneous fat	HP:0003758
Decreased subcutaneous adipose tissue	HP:0003758
Scanty adipose tissue	HP:0003758
Reduced fat tissue below the skin	HP:0003758
Decreased subcutaneous fat	HP:0003758
Reduced intrathoracic adipose tissue	HP:0003809
Herniated abdominal wall	HP:0004299
Hernia of the abdominal wall	HP:0004299
Hair loss on scalp from scarring condition	HP:0004552
Cicatricial alopecia	HP:0004552
Scarring alopecia of scalp	HP:0004552
Inability to touch chin to chest	HP:0004631
Contracture of post-cervical muscles	HP:0004631
Decreased cervical spine flexion due to contractures of posterior cervical muscles	HP:0004631
Incisional hernia	HP:0004872
Recurrent abdominal hernia	HP:0004872
Polyarticular chondrocalcinosis	HP:0005017
Lack of facial subcutaneous fat	HP:0005320
Lack of facial fat below the skin	HP:0005320
Arthrogryposis-like hand anomaly	HP:0005612
Bilateral camptodactyly	HP:0005617
Dupuytren contracture	HP:0005679
Distal arthrogryposis	HP:0005684
Congenital foot contractures	HP:0005745
Contractures, lower limbs	HP:0005750
Contractures of the joints of the lower limbs	HP:0005750
Contractures of the large joints	HP:0005781
Flexion contracture of toe	HP:0005830
Toe contractures	HP:0005830
Contractures involving the toes	HP:0005830
Contractures of the toes	HP:0005830
Congenital foot contraction deformities	HP:0005853
Joint contractures, progressive	HP:0005876
Progressive flexion contractures	HP:0005876
Congenital finger contractures	HP:0005879
Congenital finger flexion contractures	HP:0005879
Loss of fat around neck	HP:0005995
Loss of adipose tissue around the neck	HP:0005995
Decreased adipose tissue around neck	HP:0005995
Restricted neck mobility due to contractures	HP:0005997
Neck flexion contracture	HP:0005997
Restricted neck movement due to contractures	HP:0005997
Generalized hypoplasia of tooth enamel	HP:0006282
Generalized dysplasia of tooth enamel	HP:0006282
Generalized hypoplasia of dental enamel	HP:0006282
Decreased enamel mineralisation	HP:0006285
Mottled tooth enamel	HP:0006285
Hypomineralization of enamel	HP:0006285
Fluorosis of tooth enamel	HP:0006285
Increased porosity of tooth enamel	HP:0006285
White spot lesions of tooth enamel	HP:0006285
Poorly mineralized tooth enamel	HP:0006285
Thin dental enamel	HP:0006297
Dysplasia of tooth enamel	HP:0006297
Thin tooth enamel	HP:0006297
Enamel dysplasia	HP:0006297
Dental enamel hypoplasia	HP:0006297
Defective enamel matrix	HP:0006297
Hypoplasia of tooth enamel	HP:0006297
Underdeveloped teeth enamel	HP:0006297
Enamel hypoplasia	HP:0006297
Hypoplasia of dental enamel	HP:0006297
Adductor longus contractures	HP:0006366
Inability to straighten knee	HP:0006380
Knee contracture	HP:0006380
Flexion contractures at both knees	HP:0006380
Flexion contractures of knees	HP:0006380
Flexion contracture of knees	HP:0006380
Contractures of the knees	HP:0006380
Knee flexion contractures	HP:0006380
Knee flexion deformity	HP:0006380
Knee flexion contracture	HP:0006380
Contractures of knees	HP:0006380
Flexion deformity of the knee	HP:0006380
Knee contractures	HP:0006380
Contractures of the ankles	HP:0006466
Ankle flexion contracture	HP:0006466
Ankle contracture	HP:0006466
Ankle contractures	HP:0006466
Cutaneous angiolipomas	HP:0006773
Midline CNS lipomas	HP:0006866
Midline central nervous system lipomas	HP:0006866
Lipoma of corpus callosum	HP:0006931
Absent fat below the skin	HP:0007485
Lack of fatty tissue below the skin	HP:0007485
Absence of subcutaneous fat	HP:0007485
General absence of subcutaneous fat	HP:0007485
Yellow subcutaneous tissue covered by thin, scaly skin	HP:0007525
Frontal cutaneous lipoma	HP:0007541
Abnormal subcutaneous fat tissue distribution	HP:0007552
Abnormal fat tissue distribution below the skin	HP:0007552
Painful subcutaneous lipomas	HP:0007596
Painful noncancerous fat tissue tumor under the skin	HP:0007596
Chorioretinal scar	HP:0007777
Plantar flexion contractures	HP:0008112
Contractures of the foot joints	HP:0008366
Contractures involving the joints of the feet	HP:0008366
Adipose tissue loss	HP:0008887
Loss of fat tissue	HP:0008887
Increased IM fat	HP:0008985
Increased intramuscular fat	HP:0008985
Increased intraabdominal fat	HP:0008993
Loss of truncal subcutaneous adipose tissue	HP:0009002
Loss of truncal adipose tissue	HP:0009002
Loss of subcutaneous truncal adipose tissue	HP:0009002
Loss of fat tissue in trunk	HP:0009002
Increased fat below the skin in trunk	HP:0009003
Increased subcutaneous truncal adipose tissue	HP:0009003
Loss of fat tissue below the skin in gluts	HP:0009017
Loss of gluteal subcutaneous adipose tissue	HP:0009017
Facial fat wasting	HP:0009019
Progressive loss of facial fat	HP:0009019
Progressive loss of facial subcutaneous adipose tissue	HP:0009019
Facial fat atrophy	HP:0009019
Progressive loss of facial adipose tissue	HP:0009019
Progressive loss of subcutaneous adipose tissue from face	HP:0009019
Loss of subcutaneous adipose tissue from face, progressive	HP:0009019
Atrophy of facial adipose tissue	HP:0009019
Increased connective tissue	HP:0009025
Loss of fat tissue below the skin from upper limbs	HP:0009056
Loss of subcutaneous adipose tissue from upper limbs	HP:0009056
Congenital generalized lipodystrophy	HP:0009059
Generalized lipodystrophy	HP:0009064
Lipodystrophy, generalized	HP:0009064
Abnormality of fatty tissue	HP:0009124
Abnormal adipose tissue morphology	HP:0009124
Abnormality of fat tissue	HP:0009124
Abnormality of adipose tissue	HP:0009124
Lipodystrophy	HP:0009125
Inability to make and keep healthy fat tissue	HP:0009125
Increased adipose tissue	HP:0009126
Increased fat tissue	HP:0009126
Fifth finger camptodactyly	HP:0009183
Joint contracture of the 5th finger	HP:0009183
Contracture of the distal interphalangeal joint of the 5th finger	HP:0009184
5th finger camptodactyly	HP:0009185
Contracture of the proximal interphalangeal joint of the 5th finger	HP:0009185
Contracture of the metacarpophalangeal joint of the 5th finger	HP:0009186
Joint contracture of the 4th finger	HP:0009274
Joint contractures of the fourth finger	HP:0009274
Contracture of the distal interphalangeal joint of the 4th finger	HP:0009275
Camptodactyly of the ring finger	HP:0009276
Camptodactyly of the 4th finger	HP:0009276
Contracture of the proximal interphalangeal joint of the 4th finger	HP:0009276
4th finger camptodactyly	HP:0009276
Contracture of the metacarpophalangeal joint of the 4th finger	HP:0009277
Joint contracture of the 3rd finger	HP:0009319
Camptodactyly of middle finger	HP:0009319
Contracture of the outermost hinge joint of the 3rd finger	HP:0009469
Contracture of the distal interphalangeal joint of the 3rd finger	HP:0009469
Contracture of the metacarpophalangeal joint of the 3rd finger	HP:0009470
Camptodactyly of the third finger	HP:0009471
Contracture of the proximal interphalangeal joint of the 3rd finger	HP:0009471
Camptodactyly of the 3rd finger	HP:0009471
Contractures of the hands	HP:0009473
Joint contracture of the hand	HP:0009473
Contractures involving the hands	HP:0009473
Joint contractures of the 2nd finger	HP:0009537
Flexion contracture of the 2nd finger	HP:0009537
Contracture of the distal interphalangeal joint of the 2nd finger	HP:0009538
Contracture of the metacarpophalangeal joint of the 2nd finger	HP:0009539
Camptodactyly of 2nd finger	HP:0009540
Contracture of the proximal interphalangeal joint of the 2nd finger	HP:0009540
Camptodactyly of index finger	HP:0009540
Camptodactyly of second finger	HP:0009540
Joint contractures of the thumb	HP:0009600
Flexion contracture of thumb	HP:0009600
Contracture of thumb	HP:0009600
Flexion deformities of thumbs	HP:0009600
Contractures of the carpometacarpal joint of the thumb	HP:0009624
Contractures of the metacarpophalangeal joint of the thumb	HP:0009625
Interphalangeal extension contractures of thumbs	HP:0009626
Contractures of the interphalangeal joint of the thumb	HP:0009626
Contracture of the distal interphalangeal joint of the fingers	HP:0009697
Shagreen patch	HP:0009721
Dental enamel pits	HP:0009722
Tooth enamel pits	HP:0009722
Pitting of tooth enamel	HP:0009722
Dental enamel pitting	HP:0009722
Flexion contracture of the hallux	HP:0010212
Joint contracture of the big toe	HP:0010212
Joint contracture of the hallux	HP:0010212
Contracture of the tarsometatarsal joint of the hallux	HP:0010213
Contracture of the interphalangeal joint of the hallux	HP:0010214
Contractures of the metatarsophalangeal joint of the hallux	HP:0010215
Flexion contracture of the 2nd toe	HP:0010327
Joint contractures of the 2nd toe	HP:0010327
Joint contractures of the 3rd toe	HP:0010333
Flexion contracture of 3rd toe	HP:0010333
Joint contractures of the 4th toe	HP:0010339
Flexion contracture of the 4th toe	HP:0010339
Flexion contracture of the 5th toe	HP:0010345
Joint contractures of the 5th toe	HP:0010345
Keloids	HP:0010562
Dentinogenesis imperfecta of baby teeth	HP:0011060
Dentinogenesis imperfecta limited to primary teeth	HP:0011060
Dentin dysplasia	HP:0011060
Localized hypoplasia of dental enamel	HP:0011074
Localized dysplasia of tooth enamel	HP:0011074
Localized hypoplasia of tooth enamel	HP:0011074
Decreased enamel calcification	HP:0011084
Hypocalcification of dental enamel	HP:0011084
Poorly calcified tooth enamel	HP:0011084
Soft teeth	HP:0011085
Hypomature dental enamel	HP:0011085
Immature tooth enamel	HP:0011085
Soft tooth enamel	HP:0011085
Dentinogenesis imperfecta of primary and permanent teeth	HP:0011086
Dentinogenesis imperfecta of adult and baby teeth	HP:0011086
Dentinogenesis imperfecta of both sets of teeth	HP:0011086
Lipomatous tumor	HP:0012031
Fatty lump	HP:0012032
Lipoma	HP:0012032
Noncancerous fatty lump	HP:0012032
Sacral lipoma	HP:0012033
Liposarcoma	HP:0012034
Myxoid liposarcoma	HP:0012268
Permanent flexion of the finger or toe	HP:0012385
Camptodactyly	HP:0012385
Bilateral wrist flexion contracture	HP:0012453
Bilateral wrist contracture	HP:0012453
Unilateral wrist flexion contracture	HP:0012454
Unilateral wrist contracture	HP:0012454
Inflammation of adipose tissue	HP:0012490
Panniculitis	HP:0012490
Inflammation of fat tissue	HP:0012490
Flexion contracture of finger	HP:0012785
Flexion deformity of finger	HP:0012785
Disciform macular scar	HP:0025094
Reduced intraabdominal adipose tissue	HP:0025128
Posterolateral diaphragmatic hernia	HP:0025193
Bochdalek hernia	HP:0025193
Morgagni hernia	HP:0025194
Morgagni diaphragmatic hernia	HP:0025194
Central diaphragmatic hernia	HP:0025195
Central hernia	HP:0025195
Dorsocervical fat pad	HP:0025383
Buffalo hump	HP:0025383
Diet-resistant subcutaneous adipose tissue	HP:0025384
Diet-resistant subcutaneous adipose tissue below waist	HP:0025385
Flexion contracture of digit	HP:0030044
Bethlem phenomenon	HP:0030233
Bethlem sign	HP:0030233
Contracture of proximal interphalangeal joints of 2nd-5th fingers	HP:0030675
Adipocyte hypertrophy	HP:0030759
Fat cell hypertrophy	HP:0030759
Lipoma of the tongue	HP:0030815
Tongue lipoma	HP:0030815
Widened atrophic scar	HP:0031158
Lower extremity subcutanous fat hypertrophy	HP:0031451
Musculotendinous retraction	HP:0031462
Decreased fat tissue	HP:0040063
Decreased adipose tissue	HP:0040063
Fatty tumors on the eyelids.	HP:0040164
Lipomas of eyelids	HP:0040164
Eosinophilic fasciitis	HP:0045029
Lipomas of the central nervous system	HP:0100251
Multiple central nervous system lipomas	HP:0100251
Camptodactyly of the 2nd toe	HP:0100348
Contracture of the proximal interphalangeal joint of the 2nd toe	HP:0100348
Camptodactyly of the second toe	HP:0100348
Contracture of the proximal interphalangeal joint of the 3rd toe	HP:0100349
Camptodactyly of the 3rd toe	HP:0100349
Camptodactyly of the fourth toe	HP:0100350
Camptodactyly of the 4th toe	HP:0100350
Contracture of the proximal interphalangeal joint of the 4th toe	HP:0100350
Contracture of the innermost hinge joint of the 4th toe	HP:0100350
Camptodactyly of the fifth toe	HP:0100351
Camptodactyly of the 5th toe	HP:0100351
Contractures of the proximal interphalangeal joint of the 5th toe	HP:0100351
Contracture of the distal interphalangeal joint of the second toe	HP:0100352
Contracture of the distal interphalangeal joint of the 2nd toe	HP:0100352
Contracture of the distal interphalangeal joint of the 3rd toe	HP:0100353
Contracture of the distal interphalangeal joint of the 4th toe	HP:0100354
Contractures of the distal interphalangeal joint of the 5th toe	HP:0100355
Contracture of the outermost hinge joint of the 5th toe	HP:0100355
Contracture of the metatarsophalangeal joint of the 2nd toe	HP:0100356
Contracture of the metatarsophalangeal joint of the 3rd toe	HP:0100357
Contracture of the metatarsophalangeal joint of the 4th toe	HP:0100358
Contracture of the metatarsophalangeal joint of the 5th toe	HP:0100359
Contractures of the joints of the upper limbs	HP:0100360
Camptodactyly of finger	HP:0100490
Permanent flexion of the finger	HP:0100490
Camptodactyly of hands	HP:0100490
Proximal interphalangeal finger joint contractures	HP:0100490
Contractures of the proximal interphalangeal joints of the fingers	HP:0100490
Camptodactyly of proximal interphalangeal joint	HP:0100490
Flexion contractures of proximal interphalangeal joints	HP:0100490
Joint contractures involving the joints of the feet	HP:0100492
Abnormality of the fascia	HP:0100536
Inflammation of the fascia	HP:0100537
Fasciitis	HP:0100537
Femoral hernia	HP:0100541
Crural hernia	HP:0100541
Lipoatrophy	HP:0100578
Atrophy of fat	HP:0100578
Loss of fat tissue in localized area	HP:0100578
Cystocele	HP:0100645
Bladder hernia	HP:0100645
Bladder prolapse	HP:0100645
Prolapsed bladder	HP:0100645
Dropped bladder	HP:0100645
Bacterial infection of skin	HP:0100658
Skin infection	HP:0100658
Cellulitis	HP:0100658
Vaginal hernia	HP:0100672
Abnormal Sharpey fiber morphology	HP:0100685
Abnormality of Sharpey fibers	HP:0100685
Enthesis abnormality	HP:0100685
Inflammation of sharpey fibers	HP:0100686
Enthesitis	HP:0100686
Lipedema	HP:0100695
Scar tissue	HP:0100699
Scarring	HP:0100699
Abnormality of the cementum	HP:0100717
Hernias	HP:0100790
Hernia	HP:0100790
Urethrocele	HP:0100821
Rectocele	HP:0100822
Genital hernia	HP:0100823
Atrophodermia vermiculata	HP:0100837
Vermiculata atrophoderma	HP:0100837
Congenital mesoblastic nephroma	HP:0100881
Connective tissue nevi	HP:0100898
Tumor of fatty tissue	HP:0200013
Neoplasm of fatty tissue	HP:0200013
Macular scar	HP:0200056
Macular scarring	HP:0200056
Abnormality of tooth hard tissue	HP:3000050
Abnormality of odontoid tissue	HP:3000050
Abnormality of hard tissues of teeth	HP:3000050
Anterior chamber flare	None
Paralysis or weakness of muscles within or surrounding outer part of eye	None
CPEO	None
Chronic progressive external ophthalmoplegia	None
External ophthalmoplegia	None
Progressive paralysis or weakness of muscles of eye motility	None
Progressive paralysis or weakness of muscles of eye movement	None
Ophthalmoplegia externa	None
Mittendorf dot	None
Glial remnants posterior to lens	None
Dissociated horizontal deviation	None
Retinal astrocytic hamartoma	None
Microsaccadic pursuit	None
Abnormal eye physiology	None
Abnormal dark-adapted bright flash electroretinogram	None
Abnormal timing of light-adapted flicker electroretinogram	None
Retrobulbar optic neuritis	None
Retrobulbar neuritis	None
Inferior rectus muscle weakness	None
Uveal melanoma	None
Intraocular melanoma	None
Phacodonesis	None
Trembling eye lens	None
Phakodonesis	None
Tortuosity of conjunctival vessels	None
Increased Arden ratio of electrooculogram	None
Increased Arden ratio of EOG	None
