Pneumomediastinum	HP:0025421
Abnormality of the mediastinum	HP:0045026
Abnormality of the thoracic cavity	HP:0045027
Swollen lymph nodes in center of chest	HP:0100721
Mediastinal lymphadenopathy	HP:0100721
Moderately reduced contrast sensitivity	None
Moderate reduction in contrast sensitivity	None
Hyperpigmented fundus	None
Hyperpigmented fundi	None
Hyperpigmentation of the fundus	None
Corneolenticular adhesion	None
Abnormal inferior oblique muscle physiology	None
Rubeosis iridis	None
Neovascularization of the iris	None
Vitreoretinopathy	None
Vitreoretinal degeneration	None
Vitreoretinal abnormality	None
Posterior synechiae of the anterior chamber	None
Posterior synechiae	None
Iridolenticular adhesions	None
Increased OCT-measured foveal thickness	None
Wasting of the outer part of the retina	None
Peripheral retinal atrophy	None
Downbeat nystagmus	None
Abnormal optical coherence tomography	None
Vitelliform macular lesions	None
Vitelliform-like macular lesions	None
Vitelliform macular dystrophy	None
Alternating hypophoria	None
Concomitant strabismus	None
Comitant strabismus	None
Cyclophoria	None
Infantile constant exotropia	None
Infantile (constant) exotropia	None
Intraretinal exudate	None
Corneal clouding	None
Corneal opacity	None
Corneal opacities	None
Scarring or clouding of the cornea of the eye	None
Reduction of corneal clarity	None
Aplasia/Hypoplasia of the macula	None
Absent/underdeveloped macula	None
Globe retraction and deviation on abduction	None
Abnormal intraocular pressure	None
Abnormal eye pressure	None
Internuclear ophthalmoplegia	None
Abnormal dark-adapted electroretinogram	None
Absent anterior chamber of the eye	None
Square-wave jerks	None
Abnormal corneal endothelium morphology	None
Abnormality of corneal endothelium	None
Vertical incomitant strabismus	None
Granular corneal dystrophy	None
Brown anomaly	None
Brown syndrome	None
Keratitis sicca	None
Dry eyes	None
Xerophthalmia	None
Keratoconjunctivitis sicca	None
Dry eye syndrome	None
Abnormality of pattern onset/offset VEP	None
Abnormality of pattern onset/offset visual evoked potentials	None
Abnormality of pattern visual evoked potentials	None
Anterior chamber inflammatory cells	None
Abnormal stereopsis	None
Pinhole visual acuity 0.2 LogMAR	None
Abnormality of chorioretinal pigmentation	None
Loss of vision	None
Visual loss	None
Vision loss	None
Peters anomaly	None
Abnormal amplitude of dark-adapted dim flash electroretinogram	None
Foveal hyporeflective spaces on macular OCT	None
Congenital hypertrophy of retinal pigment epithelium	None
Abnormal uvea morphology	None
Abnormality of the uvea	None
Central opacification of the cornea	None
Unaided visual acuity 1.1 LogMAR	None
Full-thickness macular hole	None
FTMH	None
Unaided visual acuity 0.8 LogMAR	None
Red desaturation	None
Ciliary body melanoma	None
Superficial episcleral hyperemia	None
Superficial episcleral hypaeremia	None
Blind spot	None
Scotoma	None
Abnormal visual electrophysiology	None
Age-related nuclear cataract	None
Abnormality of the globe	None
Abnormally shaped eye	None
Abnormal eye morphology	None
Superior rectus muscle overaction	None
Paracentral scotoma	None
Abnormal inferior rectus muscle physiology	None
Developmental glaucoma	None
Pediatric glaucoma	None
Childhood glaucoma	None
Infantile glaucoma	None
Corneal endothelial guttata	None
Corneal guttata	None
Congenital horizontal nystagmus	None
Iris transillumination defect	None
Double elevator palsy	None
Abnormality of pattern reversal VEP	None
Abnormality of pattern reversal visual evoked potentials	None
Congenital stationary night blindness with normal fundus	None
Macula abnormality	None
Macular abnormality	None
Abnormality of the macula	None
Abnormal macular morphology	None
Absent fovea	None
Aplasia of the fovea	None
Mildly reduced contrast sensitivity	None
Mild reduction in contrast sensitivity	None
Best corrected visual acuity 0.5 LogMAR	None
Polymorphous posterior corneal dystrophy	None
Branch retinal artery occlusion	None
Unaided visual acuity 0.6 LogMAR	None
Rod-cone dystrophy	None
Retinitis pigmentosa	None
Rod cone dystrophy	None
Cornea plana	None
Flat cornea	None
Abnormal EOG	None
Abnormal electrooculogram	None
Saccular conjunctival dilatations	None
Saccular conjunctival aneurysms	None
Absolute eccentric fixation	None
Optic nerve dysplasia	None
Perifoveal ring of hyperautofluorescence	None
Opsoclonus	None
Subretinal heme	None
Subretinal hemorrhage	None
Subretinal haemorrhage	None
Anterior chamber cells grade 3+	None
Hyperdeviation	None
Pinhole visual acuity 0.5 LogMAR	None
Central retinal vessel vascular tortuosity	None
Tortuosity of main retinal vessels	None
Heterophoria	None
Retinal vasculitis	None
Narrow angle glaucoma	None
Scintillating scotoma	None
Temporal gray pigmentary crescent	None
Optic nerve gray crescent	None
Compensatory chin depression	None
Abnormality of the retinal vasculature	None
Abnormality of retina blood vessels	None
Abnormal retinal vascular morphology	None
Opacification of the corneal stroma	None
Corneal stromal opacity	None
Cloudy cornea	None
Cloudy corneas	None
Unaided visual acuity 0.1 LogMAR	None
Abnormal Humphrey SITA 24-2 perimetry test	None
Abnormal light-adapted flicker electroretinogram	None
Abnormal light-adapted flicker ERG	None
Abnormal light-adapted 30Hz flicker electroretinogram	None
Abnormal light-adapted 30Hz flicker ERG	None
Retinitis	None
Myopic astigmatism	None
Beaded vitreous appearance	None
Anterior chamber cells grade 0.5+	None
Unaided visual acuity 0.7 LogMAR	None
Blue sclera	None
Blue outer white part of eyeball	None
Blue sclerae	None
Bluish sclerae	None
Whites of eyes are a bluish-gray color	None
Optic nerve hypoplasia	None
Underdeveloped optic nerves	None
Hypoplastic optic nerves	None
Central heterochromia	None
Ring iris heterochromia	None
Blind spot enlargment	None
Blind-spot enlargment	None
Iris nevus	None
Eye freckle	None
Bilateral congenital mydriasis	None
Abnormal pattern electroretinogram	None
Dichromacy	None
Macular hole	None
Seesaw nystagmus	None
Corneal crystals	None
Corneal deposits	None
Double depressor palsy	None
Fasciculiform cataract	None
Aculeiform cataract	None
Needle-shaped cataract	None
Frosted cataract	None
Stellate iris	None
Mittendorf dot	None
Glial remnants posterior to lens	None
Polypoidal choroidal vasculopathy	None
Vestibular nystagmus	None
Fundus albipunctatus	None
Subhyaloid heme	None
Subhyaloid hemorrhage	None
Foveoschisis	None
Retinoschisis involving the fovea	None
Duane anomaly	None
Globe retraction and deviation on adduction	None
Limited eye movement from Duane anomaly	None
Limited eye motility from Duane anomaly	None
Abnormal light-adapted single flash electroretinogram	None
Abnormal posterior segment imaging	None
Non-accomodative esotropia	None
Achromatic retinal patches	None
Punched out areas of chorioretinal hypopigmentation	None
Chorioretinal dysplasia	None
Pinhole visual acuity 1.1 LogMAR	None
Unaided visual acuity 2.0 LogMAR	None
Reticular retinal dystrophy	None
Anterior chamber cells grade 4+	None
Peripheral tractional retinal detachment	None
Peripheral traction retinal detachment	None
Tractional retinal detachment at the periphery of the retina	None
Central corneal dystrophy	None
Visual acuity light perception without projection	None
Retinal atrophy	None
Difficulty adjusting from dark to light	None
Vertical gaze palsy	None
Vertical supranuclear gaze palsy	None
Posterior retinal neovascularization	None
Neovascularization of peripheral and posterior retina	None
Posterior retinal neovascularisation	None
Peripapillary atrophy	None
Tapetal-like fundal reflex	None
Foveal hypopigmentation	None
Blocked retinal artery	None
Retinal arteriolar occlusion	None
Abnormality of tear production	None
Lacrimation abnormality	None
Uveal melanoma	None
Intraocular melanoma	None
Static ophthalmoparesis	None
Absent retinal pigment epithelium	None
Congenital corneal dystrophy	None
Narrowing of blood vessels in back of eye	None
Attenuation of retinal blood vessels	None
Geographic atrophy	None
Macular exudates	None
Macular exudation	None
Macular exudate	None
Abnormal pinhole visual acuity test	None
Hypertensive retinopathy	None
Peripapillary exudate	None
Peripapillary exudation	None
Difficulty seeing moving objects	None
Bradyopsia	None
Lateral rectus muscle weakness	None
Global paralysis of gaze	None
Total ophthalmoplegia	None
Complete ophthalmoplegia	None
Total internal and external ophthalmoplegia	None
Retinal hemorrhage	None
Retinal hemorrhages	None
Retinal bleeding	None
Slow pupillary light response	None
Progressive ophthalmoplegia	None
Sudden central visual loss	None
Sudden loss of visual acuity	None
Sudden decrease in vision	None
Aplasia/Hypoplasia of the fovea	None
Absent/underdeveloped fovea	None
Dissociated vertical deviation	None
Multiple bilateral congenital hypertrophy of retinal pigment epithelium	None
Multiple bilateral CHRPE	None
Dilated pupil	None
Mydriasis	None
Noninflammatory retina disease	None
