Abnormality of body height	HP:0000002
Increased linear growth	HP:0000098
Tall stature	HP:0000098
Accelerated linear growth	HP:0000098
Increased body height	HP:0000098
Delayed pubertal growth	HP:0000823
Delayed pubertal development	HP:0000823
Pubertal delay	HP:0000823
Delayed puberty	HP:0000823
Pituitary dwarfism	HP:0000839
Growth abnormality	HP:0001507
Growth issue	HP:0001507
Abnormal growth	HP:0001507
Faltering weight	HP:0001508
Undergrowth	HP:0001508
Failure to thrive	HP:0001508
Postnatal failure to thrive	HP:0001508
Poor weight gain	HP:0001508
Weight faltering	HP:0001508
Growth delay	HP:0001510
Delayed growth	HP:0001510
Growth retardation	HP:0001510
Poor growth	HP:0001510
Growth deficiency	HP:0001510
Very poor growth	HP:0001510
Retarded growth	HP:0001510
Growth failure	HP:0001510
Intrauterine retardation	HP:0001511
IUGR	HP:0001511
Prenatal onset growth retardation	HP:0001511
Prenatal-onset growth retardation	HP:0001511
Small for gestational age infant	HP:0001511
Intrauterine growth failure	HP:0001511
Intrauterine growth restriction	HP:0001511
Prenatal growth retardation	HP:0001511
Intrauterine growth retardation, IUGR	HP:0001511
Prenatal growth failure	HP:0001511
Prenatal growth deficiency	HP:0001511
Intrauterine growth retardation	HP:0001511
In utero growth retardation	HP:0001511
Having too much body fat	HP:0001513
Obesity	HP:0001513
Low birth weight	HP:0001518
Birth weight less than 10th percentile	HP:0001518
Small for gestational age	HP:0001518
Dolichostenomelia	HP:0001519
Reduced upper-lower segment ratio	HP:0001519
Marfanoid body habitus	HP:0001519
Marfanoid habitus	HP:0001519
Disproportionate tall stature	HP:0001519
Fetal macrosomia	HP:0001520
Birthweight > 90th percentile	HP:0001520
Macrosomia, neonatal	HP:0001520
Macrosomia	HP:0001520
Large for gestational age	HP:0001520
Birth weight > 90th percentile	HP:0001520
Severe weight faltering	HP:0001525
Severe postnatal failure to thrive	HP:0001525
Severe failure to thrive	HP:0001525
Marked failure to thrive	HP:0001525
Severe faltering weight	HP:0001525
Hemihypertrophy	HP:0001528
Asymmetric limb hypertrophy	HP:0001528
Asymmetric overgrowth	HP:0001528
Mild growth deficiency	HP:0001530
Postnatal onset of mild growth retardation	HP:0001530
Mild postnatal growth retardation	HP:0001530
Faltering weight in infancy	HP:0001531
Failure to thrive in first year of life	HP:0001531
Weight faltering in infancy	HP:0001531
Failure to thrive in infancy	HP:0001531
Thin build	HP:0001533
Asthenic habitus	HP:0001533
